filename,duration,model,transcription,processing_time,processing_time_per_duration,status
10699068999125924254.wav,6500.0,mlx_whisper," Moreover, failure to do so has serious consequences growth depression malnutrition and ultimately death.",756.9129467010498,0.11644814564631535,Success
10699068999125924254.wav,6500.0,apple_speech,Moreover failed to do so has serious consequences growth depression malnutrition and ultimately death,1210.9320163726807,0.1862972332881047,Success
10699068999125924254.wav,6500.0,whisper_cpp,"[t0=0, t1=600, text=Moreover, failure to do so has serious consequences, growth depression, malnutrition, and ultimately death.]",128.66497039794922,0.019794610830453727,Success
10699068999125924254.wav,6500.0,openai_whisper," Moreover, failures to do so has serious consequences, growth depression, malnutrition and ultimately death.",265.37275314331055,0.040826577406663164,Success
10699068999125924254.wav,6500.0,vosk,moreover feeling do so as serious consequences growth depression malnutrition and ultimately death,650.256872177124,0.10003951879648063,Success
10831187922368503525.wav,7860.0,mlx_whisper, It is reported that some 9400 homes in the region are without water and approximately 100 with electricity.,160.5849266052246,0.02043065223985046,Success
10831187922368503525.wav,7860.0,apple_speech,Is reported that some 9400 homes in the region are without water and approximately 100 without electricity,403.49292755126953,0.05133497805995796,Success
10831187922368503525.wav,7860.0,whisper_cpp,"[t0=0, t1=700, text=It is reported that some 9,400 homes in the region are without water and approximately 100 without electricity.]",121.48499488830566,0.015456106219886218,Success
10831187922368503525.wav,7860.0,openai_whisper," It is reported that some 9,400 homes in the region are without water and approximately 100 without electricity.",213.9909267425537,0.027225308745871972,Success
10831187922368503525.wav,7860.0,vosk,is reported that some ninety four hundred homes in the region or without water and approx nimbly a hundred without electricity,625.5416870117188,0.0795854563628141,Success
11199608579747069769.wav,9960.0,mlx_whisper," A cavalry is an army that fights on a horseback. The saddle had not yet been invented, so the Assyrian cavalry fought on the bare backs of their horses.",202.1491527557373,0.020296099674270814,Success
11199608579747069769.wav,9960.0,apple_speech,A cavalry is an army that fights on horseback the saddle had not yet been invented so that a Syrian cavalry fought on the bare backs of their horses,603.5587787628174,0.06059827096012223,Success
11199608579747069769.wav,9960.0,whisper_cpp,"[t0=0, t1=344, text=A cavalry is an army that fights on horseback., t0=344, t1=768, text=The saddle had not yet been invented, so that Assyrian cavalry fought on the bare backs, t0=768, t1=856, text=of their horses.]",138.79084587097168,0.013934823882627678,Success
11199608579747069769.wav,9960.0,openai_whisper," A cavalry is an army that fights on horseback. The saddle had not yet been invented, so that Assyrian cavalry fought on the bare backs of their horses.",295.60303688049316,0.029679019767117787,Success
11199608579747069769.wav,9960.0,vosk,a cavalry as an army that fights on horseback the saddle had not yet been invented so the assyrian cavalry fought on the bear backs of their horses,751.4669895172119,0.07544849292341485,Success
1121669659657424435.wav,4740.0,mlx_whisper, Visitors with limited time would be best to spend their time elsewhere.,146.79908752441406,0.03097027162962322,Success
1121669659657424435.wav,4740.0,apple_speech,Visitors with limited time would be best to spend their time elsewhere,302.86502838134766,0.06389557560787926,Success
1121669659657424435.wav,4740.0,whisper_cpp,"[t0=0, t1=408, text=Visitors with limited time would be best to spend their time elsewhere.]",102.00977325439453,0.021521049209787875,Success
1121669659657424435.wav,4740.0,openai_whisper, Visitors with limited time would be best to spend their time elsewhere.,181.58411979675293,0.03830888603307024,Success
1121669659657424435.wav,4740.0,vosk,visitors with limited time would be best to spend their time elsewhere,500.9198188781738,0.10567928668315904,Success
11298989867189411215.wav,15120.0,mlx_whisper," John Grant from W. N. D. Buffalo, Reading Rainbow's home station said, Reading Rainbow Talk is how to read the love of reading. The song courage kids to pick up a book and to read.",222.89633750915527,0.01474182126383302,Success
11298989867189411215.wav,15120.0,apple_speech,John Grant from WND Buffalo Reading Rainbow's home station said reading rainbow talk is how to read the love of reading the song courage kids to pick up a book and to read,1208.2908153533936,0.07991341371384877,Success
11298989867189411215.wav,15120.0,whisper_cpp,"[t0=0, t1=840, text=John Grant from WNED Buffalo, Reading Rainbow's Home Station, said, ""Reading Rainbow, t0=840, t1=1368, text=Talk is How to Read, the love of reading, the Sean Courage Kids to pick up a book and to read.""]",155.44891357421875,0.010281012802527694,Success
11298989867189411215.wav,15120.0,openai_whisper," John Grant from WNED Buffalo, Reading Rainbow's Home Station, said, Reading Rainbow Talk is how to read, the love of reading, the Sean Courage Kids to pick up a book and to read.",279.4969081878662,0.01848524525052025,Success
11298989867189411215.wav,15120.0,vosk,john grant from go you any the buffalo reading rainbows home station foot said reading rainbow talk is how to read the love of reading the show encourage kids to pick up a book and to read,921.1649894714355,0.060923610414777486,Success
11340155469403278539.wav,6000.0,mlx_whisper, Dark clouds are related to any volcanic activity that are reported at the base of the mountain.,153.39326858520508,0.025565544764200848,Success
11340155469403278539.wav,6000.0,apple_speech,Dark clouds and related to any volcanic activity are reported that the base of the mountain,504.70805168151855,0.08411800861358643,Success
11340155469403278539.wav,6000.0,whisper_cpp,"[t0=0, t1=544, text=Dark clouds are related to any volcanic activity or reported at the base of the mountain.]",102.15926170349121,0.017026543617248535,Success
11340155469403278539.wav,6000.0,openai_whisper, Dark clouds are related to any volcanic activity or reported at the base of the mountain.,202.5930881500244,0.03376551469167074,Success
11340155469403278539.wav,6000.0,vosk,the cloud send a letter to anyone can you do you do i reported at the base of the mountain,764.0781402587891,0.1273463567097982,Success
11730158932997602400.wav,11760.0,mlx_whisper," In addition, there are fewer time restrictions with the possibility of flexible working hours. Bremer, 1998.",157.81283378601074,0.013419458655273022,Success
11730158932997602400.wav,11760.0,apple_speech,In addition there are fewer time restrictions with the possibility of flexible working hours Bremmer 1998,503.74388694763184,0.04283536453636325,Success
